date,urate,daten,vacancies,unemp,emp,st_unemp,mdate,qdate,st_unemp_adj,frate,srate,avg_frate,avg_srate,u_ss,frate_hp,frate_trend,srate_hp,srate_trend,avg_frate_hp,avg_srate_hp
10/1/57,4.5,1-Oct-57,,3020,64046,1399,1957m10,1957q4,1399,0.38543046,0.030907081,0.42041659,0.031399518,0.069496237,-0.055965889,0.44139636,-0.000446556,0.031353638,0.42041659,0.031399518
11/1/57,5.1,1-Nov-57,,3454,63669,1598,1957m11,1957q4,1598,0.45251882,0.032174058,0.42041659,0.031399518,0.069496237,0.012823591,0.43969524,0.000757786,0.031416271,0.42041659,0.031399518
12/1/57,5.2,1-Dec-57,,3476,63922,1585,1957m12,1957q4,1585,0.37456846,0.032742757,0.42041659,0.031399518,0.069496237,-0.063465096,0.43803355,0.001264026,0.031478733,0.42041659,0.031399518
1/1/58,5.8,1-Jan-58,,3875,63220,1701,1958m1,1958q1,1701,0.37548387,0.036669232,0.42041659,0.031399518,0.069496237,-0.060932569,0.43641645,0.005128468,0.031540763,0.42041659,0.031399518
2/1/58,6.4,1-Feb-58,,4303,62898,1883,1958m2,1958q1,1883,0.40529862,0.038543012,0.42041659,0.031399518,0.069496237,-0.029549729,0.43484834,0.006940884,0.031602129,0.42041659,0.031399518
3/1/58,6.7,1-Mar-58,,4492,62731,1933,1958m3,1958q1,1933,0.30209261,0.035320155,0.42041659,0.031399518,0.069496237,-0.13124053,0.43333316,0.00365752,0.031662636,0.42041659,0.031399518
4/1/58,7.4,1-Apr-58,,5016,62631,1881,1958m4,1958q2,1881,0.36881977,0.036314715,0.42041659,0.031399518,0.069496237,-0.063054644,0.43187442,0.00459255,0.031722166,0.42041659,0.031399518
5/1/58,7.4,1-May-58,,5021,62874,1855,1958m5,1958q2,1855,0.36486757,0.034141541,0.42041659,0.031399518,0.069496237,-0.065606833,0.4304744,0.002360905,0.031780634,0.42041659,0.031399518
6/1/58,7.3,1-Jun-58,,4944,62730,1755,1958m6,1958q2,1755,0.34041262,0.034925967,0.42041659,0.031399518,0.069496237,-0.088722117,0.42913473,0.00308796,0.031838007,0.42041659,0.031399518
7/1/58,7.5,1-Jul-58,,5079,62745,1818,1958m7,1958q3,1818,0.35715693,0.034148172,0.42041659,0.031399518,0.069496237,-0.070699446,0.42785639,0.002253903,0.03189427,0.42041659,0.031399518
8/1/58,7.4,1-Aug-58,,5025,63012,1760,1958m8,1958q3,1760,0.3641791,0.031549431,0.42041659,0.031399518,0.069496237,-0.062460326,0.42663944,-0.000400004,0.031949434,0.42041659,0.031399518
9/1/58,7.1,1-Sep-58,,4821,63181,1626,1958m9,1958q3,1626,0.39286456,0.032361496,0.42041659,0.031399518,0.069496237,-0.032618705,0.42548326,0.000357948,0.032003548,0.42041659,0.031399518
10/1/58,6.7,1-Oct-58,,4570,63475,1643,1958m10,1958q4,1643,0.41859958,0.03050427,0.42041659,0.031399518,0.069496237,-0.005787043,0.42438662,-0.001552373,0.032056641,0.42041659,0.031399518
11/1/58,6.2,1-Nov-58,,4188,63470,1531,1958m11,1958q4,1531,0.40329513,0.033391599,0.42041659,0.031399518,0.069496237,-0.020052806,0.42334792,0.001282841,0.032108758,0.42041659,0.031399518
12/1/58,6.2,1-Dec-58,,4191,63549,1692,1958m12,1958q4,1692,0.4049153,0.031055767,0.42041659,0.031399518,0.069496237,-0.017450271,0.42236558,-0.00110415,0.032159917,0.42041659,0.031399518
1/1/59,6,1-Jan-59,,4068,63868,1574,1959m1,1959q1,1574,0.40732548,0.030554183,0.42041659,0.031399518,0.069496237,-0.014112229,0.42143771,-0.001655975,0.032210156,0.42041659,0.031399518
2/1/59,5.9,1-Feb-59,,3965,63684,1554,1959m2,1959q1,1554,0.40933165,0.028805492,0.42041659,0.031399518,0.069496237,-0.011230672,0.42056233,-0.003454012,0.032259505,0.42041659,0.031399518
3/1/59,5.6,1-Mar-59,,3801,64267,1459,1959m3,1959q1,1459,0.45356485,0.030064976,0.42041659,0.031399518,0.069496237,0.033827577,0.41973728,-0.002242992,0.032307968,0.42041659,0.031399518
4/1/59,5.2,1-Apr-59,,3571,64768,1494,1959m4,1959q2,1494,0.43993279,0.029274829,0.42041659,0.031399518,0.069496237,0.02097249,0.4189603,-0.003080692,0.032355521,0.42041659,0.031399518
5/1/59,5.1,1-May-59,,3479,64699,1479,1959m5,1959q2,1479,0.45185399,0.030390313,0.42041659,0.031399518,0.069496237,0.033624504,0.41822949,-0.002011804,0.032402117,0.42041659,0.031399518
6/1/59,5,1-Jun-59,,3429,64849,1522,1959m6,1959q2,1522,0.43511227,0.031355496,0.42041659,0.031399518,0.069496237,0.017569158,0.41754311,-0.001092179,0.032447677,0.42041659,0.031399518
7/1/59,5.1,1-Jul-59,,3528,65011,1591,1959m7,1959q3,1591,0.43849206,0.031660285,0.42041659,0.031399518,0.069496237,0.021592261,0.4168998,-0.000831814,0.032492097,0.42041659,0.031399518
8/1/59,5.2,1-Aug-59,,3588,64844,1607,1959m8,1959q3,1607,0.39437011,0.030773526,0.42041659,0.031399518,0.069496237,-0.021928243,0.41629836,-0.001761752,0.032535277,0.42041659,0.031399518
9/1/59,5.5,1-Sep-59,,3775,64770,1602,1959m9,1959q3,1602,0.42781457,0.034370858,0.42041659,0.031399518,0.069496237,0.012076787,0.41573778,0.001793765,0.032577094,0.42041659,0.031399518
10/1/59,5.7,1-Oct-59,,3910,64911,1750,1959m10,1959q4,1750,0.42250639,0.034083135,0.42041659,0.031399518,0.069496237,0.007289495,0.41521689,0.001465726,0.032617409,0.42041659,0.031399518
11/1/59,5.8,1-Nov-59,,4003,64530,1745,1959m11,1959q4,1745,0.50137395,0.034268696,0.42041659,0.031399518,0.069496237,0.086639345,0.4147346,0.001612588,0.032656107,0.42041659,0.031399518
12/1/59,5.3,1-Dec-59,,3653,65341,1657,1959m12,1959q4,1657,0.45880097,0.03253115,0.42041659,0.031399518,0.069496237,0.044511084,0.41428989,-0.000161938,0.032693088,0.42041659,0.031399518
1/1/60,5.2,1-Jan-60,,3615,65347,1638,1960m1,1960q1,1638,0.47496542,0.028718667,0.42041659,0.031399518,0.069496237,0.06108281,0.41388261,-0.004009593,0.032728259,0.42041659,0.031399518
2/1/60,4.8,1-Feb-60,,3329,65620,1431,1960m2,1960q1,1431,0.38119555,0.031367101,0.42041659,0.031399518,0.069496237,-0.032317534,0.41351306,-0.001394436,0.032761537,0.42041659,0.031399518
3/1/60,5.4,1-Mar-60,,3726,64673,1666,1960m3,1960q1,1666,0.49409553,0.035629444,0.42041659,0.031399518,0.069496237,0.080913335,0.4131822,0.002836655,0.032792788,0.42041659,0.031399518
4/1/60,5.2,1-Apr-60,,3620,65959,1735,1960m4,1960q2,1735,0.48867404,0.034468386,0.42041659,0.031399518,0.069496237,0.075783491,0.41289055,0.001646512,0.032821875,0.42041659,0.031399518
5/1/60,5.1,1-May-60,,3569,66057,1718,1960m5,1960q2,1718,0.4317736,0.033554606,0.42041659,0.031399518,0.069496237,0.019134047,0.41263956,0.000705928,0.032848679,0.42041659,0.031399518
6/1/60,5.4,1-Jun-60,,3766,66168,1738,1960m6,1960q2,1738,0.43520978,0.033011705,0.42041659,0.031399518,0.069496237,0.022778431,0.41243136,0.000138602,0.032873102,0.42041659,0.031399518
7/1/60,5.5,1-Jul-60,,3836,65909,1709,1960m7,1960q3,1709,0.42648593,0.033671223,0.42041659,0.031399518,0.069496237,0.014217637,0.41226828,0.000776165,0.032895058,0.42041659,0.031399518
8/1/60,5.6,1-Aug-60,,3946,65895,1746,1960m8,1960q3,1746,0.44069943,0.032642301,0.42041659,0.031399518,0.069496237,0.028546484,0.41215295,-0.000272151,0.032914452,0.42041659,0.031399518
9/1/60,5.5,1-Sep-60,,3884,66267,1677,1960m9,1960q3,1677,0.3599382,0.03249849,0.42041659,0.031399518,0.069496237,-0.052149829,0.41208804,-0.000432717,0.032931205,0.42041659,0.031399518
10/1/60,6.1,1-Oct-60,,4252,65632,1766,1960m10,1960q4,1766,0.38570085,0.032430489,0.42041659,0.031399518,0.069496237,-0.026375711,0.41207656,-0.000514747,0.032945234,0.42041659,0.031399518
11/1/60,6.1,1-Nov-60,,4330,66109,1718,1960m11,1960q4,1718,0.41916859,0.040226899,0.42041659,0.031399518,0.069496237,0.007047582,0.412121,0.007270449,0.032956451,0.42041659,0.031399518
12/1/60,6.6,1-Dec-60,,4617,65778,2102,1960m12,1960q4,2102,0.39636126,0.035721008,0.42041659,0.031399518,0.069496237,-0.015862331,0.41222358,0.002756251,0.032964759,0.42041659,0.031399518
1/1/61,6.6,1-Jan-61,,4671,65776,1884,1961m1,1961q1,1884,0.40162706,0.038750336,0.42041659,0.031399518,0.069496237,-0.010759535,0.4123866,0.005780201,0.032970134,0.42041659,0.031399518
2/1/61,6.9,1-Feb-61,,4832,65588,2037,1961m2,1961q1,2037,0.3812086,0.035093572,0.42041659,0.031399518,0.069496237,-0.03140356,0.41261217,0.002120982,0.032972589,0.42041659,0.031399518
3/1/61,6.9,1-Mar-61,,4853,65850,1863,1961m3,1961q1,1863,0.34803215,0.031788323,0.42041659,0.031399518,0.069496237,-0.064870149,0.4129023,-0.001183864,0.032972187,0.42041659,0.031399518
4/1/61,7,1-Apr-61,,4893,65374,1729,1961m4,1961q2,1729,0.33476394,0.032113716,0.42041659,0.031399518,0.069496237,-0.078494772,0.4132587,-0.000855295,0.032969009,0.42041659,0.031399518
5/1/61,7.1,1-May-61,,5003,65449,1748,1961m5,1961q2,1748,0.39156505,0.034976576,0.42041659,0.031399518,0.069496237,-0.022117419,0.41368246,0.00201344,0.032963134,0.42041659,0.031399518
6/1/61,6.9,1-Jun-61,,4885,65993,1841,1961m6,1961q2,1841,0.35742068,0.033007763,0.42041659,0.031399518,0.069496237,-0.056753166,0.41417384,5.31375E-05,0.032954626,0.42041659,0.031399518
7/1/61,7,1-Jul-61,,4928,65608,1789,1961m7,1961q3,1789,0.3950893,0.03230923,0.42041659,0.031399518,0.069496237,-0.019643597,0.4147329,-0.000634337,0.032943565,0.42041659,0.031399518
8/1/61,6.6,1-Aug-61,,4682,65852,1701,1961m8,1961q3,1701,0.39833406,0.035250761,0.42041659,0.031399518,0.069496237,-0.017025037,0.41535908,0.002320716,0.032930046,0.42041659,0.031399518
