date,alp,daten,urate,vacancies,unemp,emp,st_unemp,mdate,qdate,st_unemp_adj,frate,srate,avg_frate,tightness,lurate,lurate_hp
1952-10-01,28.364,01oct1952,.03,,1839,60132,1050,1952m10,1952q4,1050,.6052202,.024251558,.42041659,,-3.5065579,-.11942901
1952-11-01,,01nov1952,.028,,1743,60748,1017,1952m11,1952q4,1017,.64257026,.025321018,.42041659,,-3.5755508,-.19605196
1952-12-01,,01dec1952,.027,,1667,60954,1044,1952m12,1952q4,1044,.53209358,.023671478,.42041659,,-3.6119184,-.24015491
1953-01-01,28.612,01jan1953,.029,,1839,61600,1059,1953m1,1953q1,1059,.69113648,.026492696,.42041659,,-3.5404594,-.17653722
1953-02-01,,01feb1953,.026,,1636,61884,1068,1953m2,1953q1,1068,.62224936,.024137728,.42041659,,-3.6496587,-.2936829
1953-03-01,,01mar1953,.026,,1647,62010,1029,1953m3,1953q1,1029,.6405586,.02683307,.42041659,,-3.6496587,-.301732
1953-04-01,28.679,01apr1953,.027,,1723,61444,1131,1953m4,1953q2,1131,.63842136,.023260584,.42041659,,-3.6119184,-.27213889
1953-05-01,,01may1953,.025,,1596,61019,973,1953m5,1953q2,973,.61027569,.023231246,.42041659,,-3.6888795,-.35733816
1953-06-01,,01jun1953,.025,,1607,61456,985,1953m6,1953q2,985,.59054136,.023135617,.42041659,,-3.6888795,-.36565837
1953-07-01,28.798,01jul1953,.026,,1660,61397,1002,1953m7,1953q3,1002,.6451807,.025871031,.42041659,,-3.6496587,-.33482802
1953-08-01,,01aug1953,.027,,1665,61151,1076,1953m8,1953q3,1076,.60480481,.027262846,.42041659,,-3.6119184,-.30553377
1953-09-01,,01sep1953,.029,,1821,60906,1163,1953m9,1953q3,1163,.59802306,.029090464,.42041659,,-3.5404594,-.24255902
1953-10-01,28.696,01oct1953,.031,,1974,60893,1242,1953m10,1953q4,1242,.54204661,.029443849,.42041659,,-3.473768,-.18437068
1953-11-01,,01nov1953,.035,,2211,60738,1307,1953m11,1953q4,1307,.52193576,.039231557,.42041659,,-3.3524072,-.071510255
1953-12-01,,01dec1953,.045,,2818,59977,1761,1953m12,1953q4,1761,.48687011,.03594372,.42041659,,-3.1010928,.17132939
1954-01-01,28.756,01jan1954,.049,,3077,60024,1631,1954m1,1954q1,1631,.47188821,.037198804,.42041659,,-3.0159349,.24806152
1954-02-01,,01feb1954,.052,,3331,60663,1706,1954m2,1954q1,1706,.43620536,.036452003,.42041659,,-2.9565115,.29913035
1954-03-01,,01mar1954,.057,,3607,60186,1729,1954m3,1954q1,1729,.43886888,.036718439,.42041659,,-2.8647039,.38267466
1954-04-01,28.956,01apr1954,.059,,3749,60185,1725,1954m4,1954q2,1725,.43344891,.034852564,.42041659,,-2.8302178,.40900663
1954-05-01,,01may1954,.059,,3767,59908,1643,1954m5,1954q2,1643,.47491372,.034433365,.42041659,,-2.8302178,.40097666
1954-06-01,,01jun1954,.056,,3551,59792,1573,1954m6,1954q2,1573,.42664039,.034504633,.42041659,,-2.8824036,.34089684
1954-07-01,29.479,01jul1954,.058,,3659,59643,1623,1954m7,1954q3,1623,.3804318,.032858536,.42041659,,-2.8473122,.36823878
1954-08-01,,01aug1954,.06,,3854,59853,1587,1954m8,1954q3,1587,.40659055,.034392245,.42041659,,-2.8134108,.39454144
1954-09-01,,01sep1954,.061,,3927,60282,1640,1954m9,1954q3,1640,.45734659,.0330128,.42041659,,-2.7968814,.40362582
1954-10-01,29.811,01oct1954,.057,,3666,60270,1535,1954m10,1954q4,1535,.46944898,.03158934,.42041659,,-2.8647039,.32851246
1954-11-01,,01nov1954,.053,,3402,60357,1457,1954m11,1954q4,1457,.47619048,.030748298,.42041659,,-2.9374633,.24861324
1954-12-01,,01dec1954,.05,,3196,60116,1414,1954m12,1954q4,1414,.44962454,.029999238,.42041659,,-2.9957323,.18334997
1955-01-01,30.399,01jan1955,.049,,3157,60753,1398,1955m1,1955q1,1398,.47006652,.027886545,.42041659,,-3.0159349,.15629129
1955-02-01,,01feb1955,.047,,2969,60727,1296,1955m2,1955q1,1296,.41596496,.024616998,.42041659,,-3.0576077,.10789192
1955-03-01,,01mar1955,.046,,2918,60964,1184,1955m3,1955q1,1184,.40095955,.026691586,.42041659,,-3.079114,.079778314
1955-04-01,30.503,01apr1955,.047,,3049,61515,1301,1955m4,1955q2,1301,.52377826,.028521158,.42041659,,-3.0576077,.094785817
1955-05-01,,01may1955,.043,,2747,61634,1295,1955m5,1955q2,1295,.49180925,.028077852,.42041659,,-3.1465552,-.00056347781
1955-06-01,,01jun1955,.042,,2701,61781,1305,1955m6,1955q2,1305,.50018513,.027671037,.42041659,,-3.1700857,-.030410891
1955-07-01,30.613,01jul1955,.04,,2632,62513,1282,1955m7,1955q3,1282,.49126139,.030641746,.42041659,,-3.2188759,-.085445397
1955-08-01,,01aug1955,.042,,2784,62797,1445,1955m8,1955q3,1445,.52550286,.029310755,.42041659,,-3.1700857,-.042838801
1955-09-01,,01sep1955,.041,,2678,62950,1357,1955m9,1955q3,1357,.47684839,.02980735,.42041659,,-3.1941831,-.073070481
1955-10-01,30.502,01oct1955,.043,,2830,62991,1429,1955m10,1955q4,1429,.50742048,.029483378,.42041659,,-3.1465552,-.031538401
1955-11-01,,01nov1955,.042,,2780,63257,1386,1955m11,1955q4,1386,.4881295,.02798098,.42041659,,-3.1700857,-.061136734
1955-12-01,,01dec1955,.042,,2761,63684,1338,1955m12,1955q4,1338,.51829046,.028316727,.42041659,,-3.1700857,-.067186758
1956-01-01,30.135,01jan1956,.04,,2666,63753,1336,1956m1,1956q1,1336,.50600147,.027066501,.42041659,,-3.2188759,-.12201886
1956-02-01,,01feb1956,.039,,2606,63518,1289,1956m2,1956q1,1289,.51573294,.031863324,.42041659,,-3.2441936,-.15337946
1956-03-01,,01mar1956,.042,,2764,63411,1502,1956m3,1956q1,1502,.53075254,.02904479,.42041659,,-3.1700857,-.085323766
1956-04-01,30.285,01apr1956,.04,,2650,63614,1353,1956m4,1956q2,1353,.47999999,.030674314,.42041659,,-3.2188759,-.14018251
1956-05-01,,01may1956,.043,,2861,63861,1483,1956m5,1956q2,1483,.51869977,.031819087,.42041659,,-3.1465552,-.07395304
1956-06-01,,01jun1956,.043,,2882,63820,1505,1956m6,1956q2,1505,.48542678,.03039518,.42041659,,-3.1465552,-.080072306
1956-07-01,30.28,01jul1956,.044,,2952,63800,1469,1956m7,1956q3,1469,.55115175,.029771784,.42041659,,-3.1235657,-.063234814
1956-08-01,,01aug1956,.041,,2701,63972,1376,1956m8,1956q3,1376,.52647167,.028770093,.42041659,,-3.1941831,-.14004116
1956-09-01,,01sep1956,.039,,2635,64079,1356,1956m9,1956q3,1356,.5248577,.02790777,.42041659,,-3.2441936,-.19628103
1956-10-01,30.603,01oct1956,.039,,2571,63975,1319,1956m10,1956q4,1319,.46324387,.030127965,.42041659,,-3.2441936,-.20255353
1956-11-01,,01nov1956,.043,,2861,63796,1481,1956m11,1956q4,1481,.53023416,.030843005,.42041659,,-3.1465552,-.11123177
1956-12-01,,01dec1956,.042,,2790,63910,1446,1956m12,1956q4,1446,.48996416,.028454075,.42041659,,-3.1700857,-.14112245
1957-01-01,30.954,01jan1957,.042,,2796,63632,1373,1957m1,1957q1,1373,.52467811,.027546484,.42041659,,-3.1700857,-.14752483
1957-02-01,,01feb1957,.039,,2622,64257,1293,1957m2,1957q1,1293,.51639968,.026035409,.42041659,,-3.2441936,-.22807483
1957-03-01,,01mar1957,.037,,2509,64404,1241,1957m3,1957q1,1241,.49581507,.027561141,.42041659,,-3.2968373,-.28719684
1957-04-01,30.832,01apr1957,.039,,2600,64047,1335,1957m4,1957q2,1335,.505,.029723154,.42041659,,-3.2441936,-.24106206
1957-05-01,,01may1957,.041,,2710,63985,1423,1957m5,1957q2,1423,.45977861,.028249314,.42041659,,-3.1941831,-.19758378
1957-06-01,,01jun1957,.043,,2856,64196,1392,1957m6,1957q2,1392,.49929971,.028358206,.42041659,,-3.1465552,-.15650173
1957-07-01,31.266,01jul1957,.042,,2796,64540,1366,1957m7,1957q3,1366,.51645207,.029138934,.42041659,,-3.1700857,-.18658082
1957-08-01,,01aug1957,.041,,2747,63959,1395,1957m8,1957q3,1395,.46887514,.030307606,.42041659,,-3.1941831,-.21721745
1957-09-01,,01sep1957,.044,,2943,64121,1484,1957m9,1957q3,1484,.44920149,.028137924,.42041659,,-3.1235657,-.15311615
1957-10-01,31.371,01oct1957,.045,,3020,64046,1399,1957m10,1957q4,1399,.38543046,.030907081,.42041659,,-3.1010928,-.13712108
1957-11-01,,01nov1957,.051,,3454,63669,1598,1957m11,1957q4,1598,.45251882,.032174058,.42041659,,-2.9759297,-.018380979
1957-12-01,,01dec1957,.052,,3476,63922,1585,1957m12,1957q4,1585,.37456846,.032742757,.42041659,,-2.9565115,-.0053133629
1958-01-01,30.94,01jan1958,.058,,3875,63220,1701,1958m1,1958q1,1701,.37548387,.036669232,.42041659,,-2.8473122,.09762533
1958-02-01,,01feb1958,.064,,4303,62898,1883,1958m2,1958q1,1883,.40529862,.038543012,.42041659,,-2.7488723,.18991241
1958-03-01,,01mar1958,.067,,4492,62731,1933,1958m3,1958q1,1933,.30209261,.035320155,.42041659,,-2.7030628,.22969377
1958-04-01,31.532,01apr1958,.074,,5016,62631,1881,1958m4,1958q2,1881,.36881977,.036314715,.42041659,,-2.6036901,.32317844
1958-05-01,,01may1958,.074,,5021,62874,1855,1958m5,1958q2,1855,.36486757,.034141541,.42041659,,-2.6036901,.31744444
1958-06-01,,01jun1958,.073,,4944,62730,1755,1958m6,1958q2,1755,.34041262,.034925967,.42041659,,-2.6172957,.29826999
1958-07-01,32.125,01jul1958,.075,,5079,62745,1818,1958m7,1958q3,1818,.35715693,.034148172,.42041659,,-2.5902672,.31990364
1958-08-01,,01aug1958,.074,,5025,63012,1760,1958m8,1958q3,1760,.3641791,.031549431,.42041659,,-2.6036901,.30126619
1958-09-01,,01sep1958,.071,,4821,63181,1626,1958m9,1958q3,1626,.39286456,.032361496,.42041659,,-2.6450753,.25485095
1958-10-01,32.671,01oct1958,.067,,4570,63475,1643,1958m10,1958q4,1643,.41859958,.03050427,.42041659,,-2.7030628,.1920196
1958-11-01,,01nov1958,.062,,4188,63470,1531,1958m11,1958q4,1531,.40329513,.033391599,.42041659,,-2.7806208,.10980347
1958-12-01,,01dec1958,.062,,4191,63549,1692,1958m12,1958q4,1692,.4049153,.031055767,.42041659,,-2.7806208,.10532947
1959-01-01,32.71,01jan1959,.06,,4068,63868,1574,1959m1,1959q1,1574,.40732548,.030554183,.42041659,,-2.8134108,.068247005
1959-02-01,,01feb1959,.059,,3965,63684,1554,1959m2,1959q1,1554,.40933165,.028805492,.42041659,,-2.8302178,.047325462
1959-03-01,,01mar1959,.056,,3801,64267,1459,1959m3,1959q1,1459,.45356485,.030064976,.42041659,,-2.8824036,-.0088006668
1959-04-01,33.027,01apr1959,.052,,3571,64768,1494,1959m4,1959q2,1494,.43993279,.029274829,.42041659,,-2.9565115,-.086679108
1959-05-01,,01may1959,.051,,3479,64699,1479,1959m5,1959q2,1479,.45185399,.030390313,.42041659,,-2.9759297,-.10970235
1959-06-01,,01jun1959,.05,,3429,64849,1522,1959m6,1959q2,1522,.43511227,.031355496,.42041659,,-2.9957323,-.13294795
1959-07-01,33.072,01jul1959,.051,,3528,65011,1591,1959m7,1959q3,1591,.43849206,.031660285,.42041659,,-2.9759297,-.11642916
1959-08-01,,01aug1959,.052,,3588,64844,1607,1959m8,1959q3,1607,.39437011,.030773526,.42041659,,-2.9565115,-.10013714
1959-09-01,,01sep1959,.055,,3775,64770,1602,1959m9,1959q3,1602,.42781457,.034370858,.42041659,,-2.9004221,-.047017235
1959-10-01,32.965,01oct1959,.057,,3910,64911,1750,1959m10,1959q4,1750,.42250639,.034083135,.42041659,,-2.8647039,-.014111811
1959-11-01,,01nov1959,.058,,4003,64530,1745,1959m11,1959q4,1745,.50137395,.034268696,.42041659,,-2.8473122,.00062413025
1959-12-01,,01dec1959,.053,,3653,65341,1657,1959m12,1959q4,1657,.45880097,.03253115,.42041659,,-2.9374633,-.092025205
1960-01-01,33.734,01jan1960,.052,,3615,65347,1638,1960m1,1960q1,1638,.47496542,.028718667,.42041659,,-2.9565115,-.11341376
1960-02-01,,01feb1960,.048,,3329,65620,1431,1960m2,1960q1,1431,.38119555,.031367101,.42041659,,-3.0365543,-.19563788
1960-03-01,,01mar1960,.054,,3726,64673,1666,1960m3,1960q1,1666,.49409553,.035629444,.42041659,,-2.9187713,-.07987503
1960-04-01,33.209,01apr1960,.052,,3620,65959,1735,1960m4,1960q2,1735,.48867404,.034468386,.42041659,,-2.9565115,-.11947086
1960-05-01,,01may1960,.051,,3569,66057,1718,1960m5,1960q2,1718,.4317736,.033554606,.42041659,,-2.9759297,-.14057595
1960-06-01,,01jun1960,.054,,3766,66168,1738,1960m6,1960q2,1738,.43520978,.033011705,.42041659,,-2.9187713,-.084930487
1960-07-01,33.407,01jul1960,.055,,3836,65909,1709,1960m7,1960q3,1709,.42648593,.033671223,.42041659,,-2.9004221,-.067914367
1960-08-01,,01aug1960,.056,,3946,65895,1746,1960m8,1960q3,1746,.44069943,.032642301,.42041659,,-2.8824036,-.051042147
1960-09-01,,01sep1960,.055,,3884,66267,1677,1960m9,1960q3,1677,.3599382,.03249849,.42041659,,-2.9004221,-.070012778
1960-10-01,32.964,01oct1960,.061,,4252,65632,1766,1960m10,1960q4,1766,.38570085,.032430489,.42041659,,-2.7968814,.03277757
1960-11-01,,01nov1960,.061,,4330,66109,1718,1960m11,1960q4,1718,.41916859,.040226899,.42041659,,-2.7968814,.032237366
1960-12-01,,01dec1960,.066,,4617,65778,2102,1960m12,1960q4,2102,.39636126,.035721008,.42041659,,-2.7181005,.11069617
1961-01-01,33.391,01jan1961,.066,,4671,65776,1884,1961m1,1961q1,1884,.40162706,.038750336,.42041659,,-2.7181005,.11059996
1961-02-01,,01feb1961,.069,,4832,65588,2037,1961m2,1961q1,2037,.3812086,.035093572,.42041659,,-2.6736488,.15518828
1961-03-01,,01mar1961,.069,,4853,65850,1863,1961m3,1961q1,1863,.34803215,.031788323,.42041659,,-2.6736488,.15556371
1961-04-01,34.27,01apr1961,.07,,4893,65374,1729,1961m4,1961q2,1729,.33476394,.032113716,.42041659,,-2.65926,.17057166
1961-05-01,,01may1961,.071,,5003,65449,1748,1961m5,1961q2,1748,.39156505,.034976576,.42041659,,-2.6450753,.18562289
1961-06-01,,01jun1961,.069,,4885,65993,1841,1961m6,1961q2,1841,.35742068,.033007763,.42041659,,-2.6736488,.1581656
1961-07-01,34.853,01jul1961,.07,,4928,65608,1789,1961m7,1961q3,1789,.3950893,.03230923,.42041659,,-2.65926,.17392126
1961-08-01,,01aug1961,.066,,4682,65852,1701,1961m8,1961q3,1701,.39833406,.035250761,.42041659,,-2.7181005,.11669789
1961-09-01,,01sep1961,.067,,4676,65541,1859,1961m9,1961q3,1859,.4093242,.034741912,.42041659,,-2.7030628,.13360149
1961-10-01,35.151,01oct1961,.065,,4573,65919,1811,1961m10,1961q4,1811,.41898099,.03143375,.42041659,,-2.7333679,.10540827
1961-11-01,,01nov1961,.061,,4295,66081,1638,1961m11,1961q4,1638,.43119907,.033452969,.42041659,,-2.7968814,.044249192
1961-12-01,,01dec1961,.06,,4177,65900,1734,1961m12,1961q4,1734,.43021306,.032885782,.42041659,,-2.8134108,.030312445
1962-01-01,35.727,01jan1962,.058,,4081,66108,1701,1962m1,1962q1,1701,.4199951,.028798202,.42041659,,-2.8473122,-.00076304586
1962-02-01,,01feb1962,.055,,3871,66538,1504,1962m2,1962q1,1504,.43167141,.032984056,.42041659,,-2.9004221,-.050818551
1962-03-01,,01mar1962,.056,,3921,66493,1721,1962m3,1962q1,1721,.4192808,.030997055,.42041659,,-2.8824036,-.029522238
1962-04-01,35.584,01apr1962,.056,,3906,66372,1629,1962m4,1962q2,1629,.40604198,.029169846,.42041659,,-2.8824036,-.026025532
1962-05-01,,01may1962,.055,,3863,66688,1543,1962m5,1962q2,1543,.41858658,.030304955,.42041659,,-2.9004221,-.040332779
1962-06-01,,01jun1962,.055,,3844,66670,1598,1962m6,1962q2,1598,.42065558,.030238884,.42041659,,-2.9004221,-.036411159
1962-07-01,36.176,01jul1962,.054,,3819,66483,1592,1962m7,1962q3,1592,.40246138,.032596059,.42041659,,-2.9187713,-.050632156
1962-08-01,,01aug1962,.057,,4013,66968,1731,1962m8,1962q3,1731,.44879141,.033673037,.42041659,,-2.8647039,.0077663874
1962-09-01,,01sep1962,.056,,3961,67192,1749,1962m9,1962q3,1749,.45291594,.031476166,.42041659,,-2.8824036,-.0054023252
1962-10-01,36.443,01oct1962,.054,,3803,67114,1636,1962m10,1962q4,1636,.42519063,.034780387,.42041659,,-2.9187713,-.037042361
1962-11-01,,01nov1962,.057,,4024,66847,1838,1962m11,1962q4,1838,.45949304,.033638164,.42041659,,-2.8647039,.021946063
1962-12-01,,01dec1962,.055,,3907,66947,1732,1962m12,1962q4,1732,.40005118,.032302704,.42041659,,-2.9004221,-.0086605493
1963-01-01,36.549,01jan1963,.057,,4074,67072,1730,1963m1,1963q1,1730,.41580757,.034972485,.42041659,,-2.8647039,.032356717
1963-02-01,,01feb1963,.059,,4238,67024,1858,1963m2,1963q1,1858,.44053799,.032548364,.42041659,,-2.8302178,.07232631
1963-03-01,,01mar1963,.057,,4072,67351,1701,1963m3,1963q1,1701,.42583498,.03238963,.42041659,,-2.8647039,.04350502
1963-04-01,36.826,01apr1963,.057,,4055,67642,1717,1963m4,1963q2,1717,.42120838,.035021145,.42041659,,-2.8647039,.049347211
1963-05-01,,01may1963,.059,,4217,67615,1870,1963m5,1963q2,1870,.46454826,.033115145,.42041659,,-2.8302178,.089848742
1963-06-01,,01jun1963,.056,,3977,67649,1719,1963m6,1963q2,1719,.40709078,.031422053,.42041659,,-2.8824036,.0438472
1963-07-01,37.73,01jul1963,.056,,4051,67905,1693,1963m7,1963q3,1693,.45667738,.032004025,.42041659,,-2.8824036,.050194979
1963-08-01,,01aug1963,.054,,3878,67908,1677,1963m8,1963q3,1677,.41670963,.031529579,.42041659,,-2.9187713,.020333098
1963-09-01,,01sep1963,.055,,3957,68174,1695,1963m9,1963q3,1695,.43164012,.032509871,.42041659,,-2.9004221,.045340095
1963-10-01,37.703,01oct1963,.055,,3987,68294,1738,1963m10,1963q4,1738,.42513168,.034568664,.42041659,,-2.9004221,.052143876
1963-11-01,,01nov1963,.057,,4151,68267,1859,1963m11,1963q4,1859,.46976632,.033963703,.42041659,,-2.8647039,.094805367
1963-12-01,,01dec1963,.055,,3975,68213,1774,1963m12,1963q4,1774,.44050315,.033935603,.42041659,,-2.9004221,.066163115
1964-01-01,37.939,01jan1964,.056,,4029,68327,1805,1964m1,1964q1,1805,.44800198,.032213237,.42041659,,-2.8824036,.091382623
1964-02-01,,01feb1964,.054,,3932,68751,1708,1964m2,1964q1,1708,.44888097,.033439301,.42041659,,-2.9187713,.06233298
1964-03-01,,01mar1964,.054,,3950,68763,1783,1964m3,1964q1,1783,.45544302,.033274215,.42041659,,-2.9187713,.069759175
1964-04-01,38.147,01apr1964,.053,,3918,69356,1767,1964m4,1964q2,1767,.46835119,.031648599,.42041659,,-2.9374633,.058592271
1964-05-01,,01may1964,.051,,3764,69631,1681,1964m5,1964q2,1681,.44341126,.031719722,.42041659,,-2.9759297,.027740024
1964-06-01,,01jun1964,.052,,3814,69218,1719,1964m6,1964q2,1719,.44362873,.027587768,.42041659,,-2.9565115,.054851297
1964-07-01,38.541,01jul1964,.049,,3608,69399,1486,1964m7,1964q3,1486,.45703992,.031677283,.42041659,,-3.0159349,.0031892282
1964-08-01,,01aug1964,.05,,3655,69463,1696,1964m8,1964q3,1696,.450342,.031641368,.42041659,,-2.9957323,.031210681
1964-09-01,,01sep1964,.051,,3712,69578,1703,1964m9,1964q3,1703,.46875,.032926194,.42041659,,-2.9759297,.058878578
1964-10-01,38.17,01oct1964,.051,,3726,69582,1754,1964m10,1964q4,1754,.47530866,.030087357,.42041659,,-2.9759297,.066779248
1964-11-01,,01nov1964,.048,,3551,69735,1596,1964m11,1964q4,1596,.44269219,.03079222,.42041659,,-3.0365543,.014079026
1964-12-01,,01dec1964,.05,,3651,69814,1672,1964m12,1964q4,1672,.46699536,.030385371,.42041659,,-2.9957323,.062837005
1965-01-01,38.718,01jan1965,.049,,3572,69997,1626,1965m1,1965q1,1626,.44372901,.03200094,.42041659,,-3.0159349,.05056965
1965-02-01,,01feb1965,.051,,3730,70127,1743,1965m2,1965q1,1743,.5152815,.032693405,.42041659,,-2.9759297,.09849672
1965-03-01,,01mar1965,.047,,3510,70439,1702,1965m3,1965q1,1702,.47350428,.032494821,.42041659,,-3.0576077,.024714144
1965-04-01,38.896,01apr1965,.048,,3595,70633,1747,1965m4,1965q2,1747,.50987482,.03173336,.42041659,,-3.0365543,.053622376
1965-05-01,,01may1965,.046,,3432,71034,1670,1965m5,1965q2,1670,.49562937,.0309934,.42041659,,-3.079114,.018863175
1965-06-01,,01jun1965,.046,,3387,71025,1656,1965m6,1965q2,1656,.51372898,.031336915,.42041659,,-3.079114,.02659462
1965-07-01,39.687,01jul1965,.044,,3301,71460,1654,1965m7,1965q3,1654,.50287789,.030153945,.42041659,,-3.1235657,-.010209265
1965-08-01,,01aug1965,.044,,3254,71362,1613,1965m8,1965q3,1613,.51167792,.030637519,.42041659,,-3.1235657,-.0026598908
1965-09-01,,01sep1965,.043,,3216,71286,1627,1965m9,1965q3,1627,.49937811,.02866135,.42041659,,-3.1465552,-.018213242
1965-10-01,40.377,01oct1965,.042,,3143,71695,1533,1965m10,1965q4,1533,.50938594,.028651746,.42041659,,-3.1700857,-.034435522
1965-11-01,,01nov1965,.041,,3073,71724,1531,1965m11,1965q4,1531,.48096323,.02636038,.42041659,,-3.1941831,-.051367313
1965-12-01,,01dec1965,.04,,3031,72062,1436,1965m12,1965q4,1436,.51666117,.028495956,.42041659,,-3.2188759,-.069051325
1966-01-01,40.928,01jan1966,.04,,2988,72198,1523,1966m1,1966q1,1523,.5599063,.028950134,.42041659,,-3.2188759,-.062213384
1966-02-01,,01feb1966,.038,,2820,72134,1505,1966m2,1966q1,1505,.51631206,.028460814,.42041659,,-3.270169,-.10685281
1966-03-01,,01mar1966,.038,,2887,72188,1523,1966m3,1966q1,1523,.56182891,.030110184,.42041659,,-3.270169,-.10039625
1966-04-01,40.645,01apr1966,.038,,2828,72510,1563,1966m4,1966q2,1563,.53359264,.03067831,.42041659,,-3.270169,-.094148956
1966-05-01,,01may1966,.039,,2950,72497,1631,1966m5,1966q2,1631,.58474576,.032104734,.42041659,,-3.2441936,-.062146768
1966-06-01,,01jun1966,.038,,2872,72775,1647,1966m6,1966q2,1647,.56963789,.031509798,.42041659,,-3.270169,-.082326695
1966-07-01,40.778,01jul1966,.038,,2876,72860,1640,1966m7,1966q3,1640,.55563283,.030825779,.42041659,,-3.270169,-.076772451
1966-08-01,,01aug1966,.038,,2900,73146,1622,1966m8,1966q3,1622,.5713793,.029761367,.42041659,,-3.270169,-.071468987
1966-09-01,,01sep1966,.037,,2798,73258,1555,1966m9,1966q3,1555,.55075055,.029029157,.42041659,,-3.2968373,-.093093507
1966-10-01,41.03,01oct1966,.037,,2798,73401,1541,1966m10,1966q4,1541,.54574698,.028085986,.42041659,,-3.2968373,-.088317737
1966-11-01,,01nov1966,.036,,2770,73840,1499,1966m11,1966q4,1499,.51985562,.028949477,.42041659,,-3.3242364,-.11121666
1966-12-01,,01dec1966,.038,,2912,73729,1582,1966m12,1966q4,1582,.53296703,.029732937,.42041659,,-3.270169,-.05293173
1967-01-01,41.354,01jan1967,.039,,2968,73671,1608,1967m1,1967q1,1608,.55559301,.029996924,.42041659,,-3.2441936,-.02302736
1967-02-01,,01feb1967,.038,,2915,73606,1596,1967m2,1967q1,1596,.5530017,.029781869,.42041659,,-3.270169,-.045368258
1967-03-01,,01mar1967,.038,,2889,73439,1586,1967m3,1967q1,1586,.53340256,.028726494,.42041659,,-3.270169,-.04203352
1967-04-01,41.507,01apr1967,.038,,2895,73882,1547,1967m4,1967q2,1547,.53436959,.02920107,.42041659,,-3.270169,-.039003756
1967-05-01,,01may1967,.038,,2929,73844,1581,1967m5,1967q2,1581,.56025946,.032055322,.42041659,,-3.270169,-.036283791
1967-06-01,,01jun1967,.039,,2992,74278,1704,1967m6,1967q2,1704,.5648396,.03080651,.42041659,,-3.2441936,-.0079026781
1967-07-01,41.719,01jul1967,.038,,2944,74520,1642,1967m7,1967q3,1642,.54144019,.02934902,.42041659,,-3.270169,-.031791057
